phi,rho,eps,theta,alpha,mu,r,b,gamma,Tumor
0.399872110250883,0.456004030193456,0.0677528969502672,8.83050308302275E-06,3.99460407854199E-08,0.00538525648570255,0.0892590915530562,7.13984111361605E-13,1.66668743975233E-06,125.2
0.328787343466077,0.388523824020027,0.0635130136344492,9.09247689198067E-06,7.14264674531971E-08,0.00307762534603136,0.0877253082233167,9.73175479944549E-13,2.03716972454199E-06,110.9
0.226150893548746,0.28775066388532,0.175947892564669,5.00390864123174E-06,6.87679885302741E-08,0.0073475011377663,0.0860922213570808,1.67747187561082E-12,2.25372549173557E-06,125.1
0.394693652369083,0.536260588682085,0.160745039707521,8.68249517809736E-06,6.16548935280833E-08,0.00582219464069725,0.0853769620253741,6.29298180230921E-13,1.55017562486109E-06,113.2
0.39381674055656,0.396937969159693,0.232371611406889,4.11243885866099E-06,4.6092150929131E-08,0.00698995780005795,0.0886241718251145,1.14989038770496E-12,1.62715262296918E-06,128.4
0.17620372345965,0.274881079884332,0.118518550171696,5.76316354143428E-06,5.03252049320337E-08,0.00786730560440793,0.0899669266288907,6.96087376412121E-13,1.5919179549946E-06,108.3
0.125189292923688,0.317992076515615,0.216669806599003,6.65438081148356E-06,6.49082390867765E-08,0.00471954057783376,0.0899047030886193,1.34574682321699E-12,2.95075749908578E-06,154.4
0.363492477118662,0.443051853019935,0.0898219345144185,6.49103642955414E-06,5.73416185846256E-08,0.00584954583030229,0.0884224322467663,2.01141929857104E-12,2.10631915535006E-06,119.2
0.11492210858924,0.143664092954673,0.102955528449658,4.82446747736307E-06,5.77979706916392E-08,0.00744160351971915,0.0848531925899166,9.77540365730397E-13,1.75933387205985E-06,123.5
0.308007215772821,0.336379858026437,0.138511410596571,7.00887263144905E-06,6.50715458224127E-08,0.0032531582972959,0.0812481199458848,7.39737247153156E-13,1.74830596148107E-06,133.4
