phi,rho,eps,theta,alpha,mu,r,b,gamma,CM55,CM75,Response
0.23229,0.23405,0.063435,8.4337e-06,4.2705e-08,0.002107,0.085458,1.1339e-12,1.5198e-06,241317.0809,1052265.0081,CR
0.27447,0.33281,0.13337,8.0196e-06,6.92e-08,0.005653,0.088258,2.0976e-12,1.7146e-06,-1.5509e-12,-1.5991e-15,NR
0.11829,0.23345,0.16169,6.4972e-06,6.2625e-08,0.0030842,0.079225,2.0418e-12,1.625e-06,215450.0994,582783.2883,CR
0.13256,0.16028,0.12328,5.8205e-06,7.1418e-08,0.0063759,0.085252,1.4809e-12,1.823e-06,0.0021675,-5.3271e-14,NR
0.13178,0.14897,0.17373,3.0404e-06,7.1219e-08,0.0050541,0.08855,2.0507e-12,2.3194e-06,84800.2839,957567.3951,CR
0.33171,0.46868,0.21486,3.9917e-06,7.1072e-08,0.0051671,0.07357,8.6594e-13,1.5221e-06,625755.3486,961840.9477,CR
0.35326,0.44473,0.12352,4.6126e-06,6.8794e-08,0.0072774,0.074809,2.0151e-12,1.4955e-06,143112.5047,437875.9267,CR
0.15047,0.21639,0.17815,9.4096e-06,5.5594e-08,0.0077812,0.087459,9.6967e-13,1.6954e-06,155.132,0.012634,NR
0.1163,0.20608,0.22995,8.7455e-06,4.3745e-08,0.0055307,0.087245,1.124e-12,1.5568e-06,935840.5106,1859025.426,CR
0.22229,0.33474,0.20543,9.5357e-06,6.9576e-08,0.0032765,0.086936,2.1843e-12,2.2428e-06,90959.0819,558462.4504,CR
0.18812,0.20119,0.070529,7.1569e-06,5.8649e-08,0.0048853,0.084468,1.2004e-12,1.846e-06,114651.4393,589246.1716,CR
0.21664,0.35135,0.21776,6.0364e-06,6.5837e-08,0.0037236,0.081905,9.5988e-13,1.7177e-06,50174.8917,501383.7631,CR
0.38369,0.45174,0.082685,8.6882e-06,6.0215e-08,0.0033964,0.089181,1.2092e-12,2.7118e-06,342215.0691,600414.2699,CR
0.29858,0.30167,0.063221,9.5964e-06,6.7659e-08,0.0056153,0.080085,8.846e-13,1.6664e-06,9325.1905,300451.3246,CR
0.22022,0.25899,0.080881,6.4091e-06,7.048e-08,0.0058289,0.081681,1.1169e-12,1.4992e-06,6.3018e-05,1.3066e-14,NR
0.40106,0.44444,0.083897,2.9534e-06,5.6009e-08,0.0043,0.087534,1.3208e-12,1.8027e-06,130.6051,0.00022391,NR
0.32337,0.32404,0.061741,5.2528e-06,5.6538e-08,0.007669,0.088527,7.6763e-13,1.8532e-06,22.0603,7.9542e-08,NR
0.20863,0.33916,0.21224,7.7123e-06,5.0939e-08,0.0036169,0.084632,8.9529e-13,1.7793e-06,735506.1962,1112728.0986,CR
0.26024,0.28416,0.069846,3.5578e-06,5.7155e-08,0.0047969,0.089571,2.1776e-12,1.6134e-06,2.9924e-08,-8.3604e-15,NR
0.2672,0.27455,0.063093,7.1037e-06,5.6843e-08,0.0042084,0.08688,2.1819e-12,1.8017e-06,424.9002,672.1195,CR
0.38293,0.39162,0.1075,3.1689e-06,6.1487e-08,0.0031369,0.088719,1.5653e-12,1.8273e-06,0.0046091,4.2052e-14,NR
0.37996,0.41185,0.076754,9.5846e-06,6.9152e-08,0.0073748,0.087199,1.9781e-12,2.1949e-06,66.0275,0.0041571,NR
0.3285,0.34686,0.095095,8.0867e-06,6.6297e-08,0.0074947,0.080151,1.347e-12,1.5713e-06,2488.6292,185795.3934,CR
0.26621,0.36573,0.13514,3.9564e-06,7.0401e-08,0.0061762,0.085103,1.1762e-12,1.7702e-06,6.6038e-05,-6.9819e-14,NR
0.29041,0.4859,0.20149,6.8016e-06,5.461e-08,0.0044573,0.0903,8.5624e-13,2.376e-06,271607.7331,364120.9522,CR
0.25407,0.26569,0.087024,4.8136e-06,7.1135e-08,0.0076199,0.083401,1.1099e-12,1.8138e-06,4.8029,-1.9434e-12,NR
0.18712,0.28379,0.15499,2.704e-06,7.1512e-08,0.0071378,0.080407,1.1712e-12,2.1385e-06,580691.2548,834527.5459,CR
0.40169,0.45422,0.1803,9.2377e-06,6.8529e-08,0.0045547,0.078946,1.1243e-12,1.6533e-06,557508.5371,1622021.4857,CR
0.29005,0.30281,0.078191,4.1414e-06,4.397e-08,0.0048473,0.088586,1.6065e-12,1.5323e-06,6252.1449,258121.107,CR
0.33437,0.34281,0.22958,8.918e-06,6.2952e-08,0.0021741,0.087167,1.1314e-12,2.0322e-06,1203810.1544,4204297.7077,CR
0.3933,0.40504,0.092906,7.4617e-06,4.5659e-08,0.0034648,0.08554,1.7728e-12,1.6291e-06,445415.653,1506612.4975,CR
0.33496,0.33953,0.081007,8.4721e-06,6.9111e-08,0.0069831,0.086322,1.8619e-12,1.5687e-06,7.8832e-12,2.9683e-16,NR
0.27609,0.44781,0.20576,8.0875e-06,7.1691e-08,0.0020433,0.086874,1.6155e-12,1.5263e-06,9.9376e-14,-4.6524e-15,NR
0.11144,0.23548,0.15529,7.7729e-06,6.3849e-08,0.0079943,0.083099,7.593e-13,1.9197e-06,122375.8381,356102.3558,CR
0.21397,0.31522,0.1426,4.6482e-06,7.1653e-08,0.0042544,0.087887,6.9256e-13,1.5263e-06,-6.0736e-14,1.9602e-15,NR
0.13579,0.14598,0.063065,9.3985e-06,6.9297e-08,0.0053806,0.080092,1.2227e-12,1.8898e-06,177079.4864,678052.3645,CR
0.32063,0.45668,0.13817,5.7163e-06,5.0523e-08,0.0074334,0.084962,1.6028e-12,1.5548e-06,769.1676,19.9475,NR
0.42223,0.47077,0.21054,8.5295e-06,5.7302e-08,0.0075476,0.088045,9.4118e-13,1.7035e-06,28.0404,1.6295e-10,NR
0.28834,0.33633,0.071514,7.0082e-06,6.8181e-08,0.0075397,0.085675,9.8101e-13,2.2482e-06,52129.2815,241631.0095,CR
0.24905,0.31944,0.079996,9.5645e-06,5.9238e-08,0.0072728,0.088586,9.905e-13,2.154e-06,4396.1903,56290.9084,CR
0.24956,0.25127,0.23625,7.1013e-06,6.0014e-08,0.0039546,0.090135,1.9711e-12,2.0026e-06,340928.6278,3051272.6518,CR
0.1281,0.18618,0.20248,2.4195e-06,6.6247e-08,0.0063941,0.086403,1.8375e-12,1.6241e-06,1.5327e-05,-8.5383e-14,NR
0.14698,0.25562,0.1108,4.6327e-06,7.152e-08,0.0035724,0.083878,7.2568e-13,1.8975e-06,0.32279,4.2869e-13,NR
0.38368,0.43157,0.18876,4.3925e-06,7.1379e-08,0.0062647,0.080689,5.8268e-13,1.8192e-06,567369.6173,1524016.5868,CR
0.19362,0.20213,0.060605,6.9628e-06,5.5387e-08,0.0050003,0.087384,1.4173e-12,1.7109e-06,3.7201,-1.5297e-12,NR
0.12257,0.26544,0.17416,5.8246e-06,7.1197e-08,0.0035464,0.085549,1.3027e-12,2.4343e-06,273334.6453,439074.7274,CR
0.15529,0.24462,0.096544,3.9206e-06,3.9897e-08,0.0035539,0.086972,1.6322e-12,1.5657e-06,170286.4464,419589.5825,CR
0.22769,0.28928,0.12044,8.3245e-06,6.1818e-08,0.0033045,0.083293,2.1358e-12,2.0598e-06,490363.9909,992683.6254,CR
0.22647,0.35518,0.1434,6.2594e-06,3.6019e-08,0.0061476,0.089104,2.1746e-12,1.6461e-06,386771.7458,609720.7004,CR
0.18684,0.20705,0.078409,8.2287e-06,6.8961e-08,0.0070955,0.080341,1.7366e-12,1.6563e-06,768.7598,5201.4805,CR
0.14358,0.22154,0.096425,5.4093e-06,5.7612e-08,0.0024714,0.07898,8.6494e-13,1.5195e-06,98825.0443,377953.8082,CR
0.16185,0.17371,0.091851,2.9596e-06,5.703e-08,0.0041208,0.088171,1.4482e-12,2.1331e-06,312988.6158,998621.1908,CR
0.31716,0.40304,0.092756,3.012e-06,4.2979e-08,0.0049366,0.088199,1.683e-12,1.6516e-06,59345.4309,230087.4788,CR
0.41301,0.43903,0.064923,4.1146e-06,7.0392e-08,0.0028827,0.07965,1.3757e-12,1.8061e-06,72797.8214,370024.6447,CR
0.18511,0.28636,0.11339,6.348e-06,7.1351e-08,0.002376,0.079668,1.7891e-12,1.8841e-06,83325.4831,279145.8136,CR
0.11712,0.22935,0.16401,9.1477e-06,6.7731e-08,0.0064407,0.079812,8.1836e-13,1.9915e-06,567000.3327,836126.7923,CR
0.3478,0.43077,0.16765,3.5897e-06,6.5932e-08,0.005334,0.08752,1.514e-12,1.9682e-06,1.3543,2.7946e-13,NR
0.15453,0.19968,0.071755,2.9668e-06,4.6286e-08,0.0052788,0.08879,1.0308e-12,1.5358e-06,5.7673,-1.2263e-12,NR
0.27294,0.29219,0.11965,5.6068e-06,6.6991e-08,0.0075483,0.080701,8.1719e-13,1.5826e-06,3043.3847,255911.9393,CR
0.33735,0.46109,0.21845,5.3273e-06,6.8641e-08,0.0077988,0.089684,1.1715e-12,2.4525e-06,60528.2844,412903.64,CR
0.29573,0.33681,0.2177,3.8447e-06,7.0649e-08,0.0024072,0.087103,1.97e-12,1.6258e-06,8.9675e-11,-2.1837e-14,NR
0.11752,0.13363,0.11633,8.1176e-06,7.0064e-08,0.0029795,0.088114,1.9481e-12,2.0201e-06,0.00031188,-5.982e-15,NR
0.31978,0.35738,0.079116,9.592e-06,5.4166e-08,0.0027416,0.090265,1.8752e-12,1.7544e-06,0.00049147,-3.6891e-14,NR
0.21383,0.35193,0.1432,7.4446e-06,5.3221e-08,0.0039596,0.08502,8.9689e-13,2.0176e-06,374919.8556,538305.8351,CR
0.38049,0.47937,0.11673,6.0649e-06,6.6292e-08,0.0059649,0.090083,1.5089e-12,2.2517e-06,0.025077,-2.2817e-13,NR
0.10702,0.24392,0.15321,2.7522e-06,6.9974e-08,0.00743,0.078495,1.8082e-12,1.5147e-06,41.6641,2.6608e-09,NR
0.26524,0.26769,0.072883,7.5639e-06,5.6781e-08,0.0035083,0.084327,6.6315e-13,1.5058e-06,3.5077,-2.2595e-12,NR
0.27512,0.4402,0.16709,6.019e-06,5.9318e-08,0.004588,0.081599,1.6973e-12,1.921e-06,354608.9191,478488.5983,CR
0.2019,0.23884,0.10364,7.6571e-06,6.424e-08,0.0057314,0.088747,1.5715e-12,1.6032e-06,-9.9179e-13,7.13e-16,NR
0.14404,0.34155,0.21812,8.766e-06,6.32e-08,0.0069491,0.08124,1.449e-12,1.9136e-06,346322.4425,467202.3152,CR
0.40737,0.56898,0.18887,3.0245e-06,6.9816e-08,0.0043699,0.087649,1.5496e-12,1.5285e-06,-5.1187e-13,1.9358e-15,NR
0.29185,0.32568,0.10396,7.4004e-06,6.1621e-08,0.0020817,0.087248,1.2996e-12,1.6873e-06,0.00012599,-6.4269e-14,NR
0.32802,0.46213,0.18458,4.2593e-06,6.164e-08,0.0023032,0.08452,2.01e-12,1.5477e-06,0.011929,-1.7166e-13,NR
0.3467,0.50297,0.22702,8.3277e-06,5.7859e-08,0.0030129,0.084588,1.5941e-12,1.6523e-06,2287.9606,50968.879,CR
0.13958,0.29307,0.23259,3.3077e-06,4.2816e-08,0.0028399,0.089465,2.2234e-12,1.8425e-06,740597.4773,1013127.086,CR
0.2439,0.37553,0.18483,5.7169e-06,7.0238e-08,0.0040179,0.075197,1.7691e-12,1.655e-06,517496.9467,815394.0552,CR
0.36075,0.53564,0.17741,7.2231e-06,6.9827e-08,0.0046242,0.086881,1.2989e-12,2.1467e-06,1.3933,-1.7254e-12,NR
0.19853,0.41025,0.22251,4.0078e-06,6.3826e-08,0.0063945,0.088114,1.1369e-12,1.9269e-06,0.0032495,-6.21e-14,NR
0.16442,0.18048,0.081166,7.4893e-06,6.1295e-08,0.007952,0.086475,1.9075e-12,1.9139e-06,1622.9139,89855.891,CR
0.11843,0.17708,0.10725,4.022e-06,7.1462e-08,0.0058243,0.077691,1.939e-12,1.5496e-06,2343.0123,7821.6429,CR
0.39681,0.43925,0.10398,8.5984e-06,6.8969e-08,0.0039381,0.082104,2.1981e-12,1.5134e-06,0.00048286,-2.9644e-14,NR
0.40949,0.46623,0.11891,6.5044e-06,6.5216e-08,0.0074798,0.085903,1.3961e-12,1.5396e-06,2.6895e-08,-5.8124e-16,NR
0.12804,0.20817,0.087779,6.2617e-06,6.9799e-08,0.003697,0.077761,1.0652e-12,1.9839e-06,330688.1434,573295.2449,CR
0.19946,0.2461,0.085487,8.4021e-06,6.7994e-08,0.007375,0.077273,1.6428e-12,1.6166e-06,100581.3256,460010.8106,CR
0.33834,0.37755,0.096881,2.7212e-06,6.7563e-08,0.0053717,0.087818,1.3304e-12,1.6568e-06,1.723e-12,4.4527e-15,NR
0.23695,0.34993,0.12152,6.924e-06,5.0295e-08,0.0029084,0.087204,1.0121e-12,1.7409e-06,4838.0795,37359.5558,CR
0.34757,0.45468,0.11399,6.047e-06,7.018e-08,0.0051957,0.084257,1.8952e-12,2.1856e-06,41590.7629,166773.8032,CR
0.4111,0.50908,0.17587,8.2034e-06,5.3592e-08,0.0020956,0.08606,7.5712e-13,1.9232e-06,569153.5634,1051402.5874,CR
0.22403,0.24595,0.17363,5.697e-06,4.5308e-08,0.0073846,0.088304,1.7057e-12,1.6703e-06,902523.0275,2618326.4341,CR
0.11713,0.14701,0.19527,9.2037e-06,5.7542e-08,0.0036392,0.087452,1.6121e-12,1.7629e-06,46821.0785,1472112.1987,CR
0.39572,0.54589,0.19862,4.4573e-06,6.4191e-08,0.0026661,0.09031,1.4354e-12,1.6521e-06,1.2976e-12,1.3662e-14,NR
0.40776,0.45831,0.064075,9.2586e-06,4.3535e-08,0.0023182,0.087147,1.0667e-12,1.7461e-06,171762.8252,482218.3748,CR
0.37976,0.48935,0.12563,3.2993e-06,5.6686e-08,0.0070995,0.089974,6.7695e-13,1.7711e-06,3.6667e-05,5.5657e-14,NR
0.20795,0.29109,0.11861,9.5055e-06,5.0576e-08,0.0040158,0.084834,1.8293e-12,1.5682e-06,9405.2684,212311.132,CR
0.37274,0.39548,0.14964,4.3248e-06,6.4939e-08,0.0063328,0.086253,1.4145e-12,2.3467e-06,856877.8428,2037412.2425,CR
0.19327,0.25836,0.079915,8.6053e-06,6.6255e-08,0.0059539,0.086038,1.7489e-12,2.0658e-06,170.915,0.56669,NR
0.35488,0.44561,0.099514,7.1679e-06,4.942e-08,0.0053969,0.085946,2.0276e-12,1.5769e-06,486.5987,24.0667,NR
0.21297,0.31743,0.12422,4.7439e-06,6.5305e-08,0.0036343,0.088529,1.9706e-12,1.6014e-06,-1.1235e-13,-2.4776e-16,NR
0.39881,0.40659,0.12467,4.149e-06,6.4218e-08,0.0055195,0.086872,1.3776e-12,2.0393e-06,119995.1878,925072.4651,CR
0.31248,0.36472,0.070936,3.5727e-06,6.2904e-08,0.0032312,0.088946,1.2533e-12,2.2799e-06,5936.2055,54797.4875,CR
0.39673,0.45854,0.095108,9.1068e-06,7.0584e-08,0.0034841,0.089734,1.7428e-12,3.1066e-06,375959.4258,677819.3909,CR
0.36953,0.39833,0.072437,4.3897e-06,4.865e-08,0.0051562,0.08832,1.4669e-12,1.5029e-06,0.16292,-1.8693e-13,NR
0.13334,0.14876,0.078907,3.7037e-06,4.3243e-08,0.0038579,0.087532,6.2764e-13,1.6276e-06,251150.981,916876.162,CR
0.26351,0.36716,0.11982,7.1697e-06,6.5522e-08,0.0026468,0.075954,1.5484e-12,1.5609e-06,167352.2652,443823.2367,CR
0.24571,0.2528,0.098009,7.4386e-06,6.8891e-08,0.0053233,0.085157,1.8906e-12,1.8541e-06,0.76288,-1.5336e-13,NR
0.16944,0.17879,0.087718,3.6255e-06,6.602e-08,0.0061661,0.090058,1.2004e-12,2.1478e-06,0.0090563,-2.078e-13,NR
0.37842,0.42241,0.15474,6.9223e-06,5.9017e-08,0.0020112,0.089553,8.7864e-13,1.9023e-06,1.2927,-1.1629e-12,NR
0.19707,0.22976,0.17925,8.3356e-06,6.4254e-08,0.0025886,0.086952,1.1131e-12,1.5193e-06,1.2298e-08,1.3092e-14,NR
0.2169,0.29568,0.11919,5.2513e-06,6.5309e-08,0.0069596,0.088174,1.3285e-12,2.61e-06,370220.3014,612512.235,CR
0.12824,0.1534,0.072535,8.4623e-06,7.1996e-08,0.0068108,0.087176,9.3433e-13,2.7721e-06,306976.1099,730321.4765,CR
0.29849,0.36555,0.11834,7.9199e-06,6.8533e-08,0.007157,0.090307,1.4828e-12,1.5822e-06,1.1532e-13,-2.6503e-16,NR
0.19699,0.28267,0.11403,7.919e-06,5.0876e-08,0.006233,0.081107,1.3369e-12,1.6207e-06,369868.155,705490.5522,CR
0.19282,0.32748,0.23,3.3348e-06,5.1502e-08,0.0033191,0.083623,1.1959e-12,1.6411e-06,679302.7651,1083154.2166,CR
0.14064,0.25687,0.13172,9.0597e-06,6.5108e-08,0.0068865,0.087178,2.2143e-12,1.7021e-06,4.8716e-08,1.4936e-15,NR
0.31155,0.361,0.063249,5.7366e-06,6.3065e-08,0.0027306,0.087004,1.4904e-12,2.065e-06,352.877,14.9199,NR
0.31262,0.44645,0.14781,2.585e-06,7.0349e-08,0.0076046,0.089947,1.6283e-12,3.054e-06,349048.2694,421901.9942,CR
0.10676,0.12995,0.090097,7.945e-06,7.0141e-08,0.0043019,0.081579,1.7783e-12,1.8437e-06,32571.182,443510.4147,CR
0.18502,0.20589,0.062434,7.0144e-06,5.6089e-08,0.0048877,0.088864,6.4261e-13,1.7027e-06,0.00049507,-2.7408e-14,NR
0.28861,0.47164,0.2019,3.3034e-06,7.1406e-08,0.0076919,0.078786,1.4948e-12,1.6089e-06,384.3451,0.0033361,NR
0.22707,0.33489,0.16495,2.8221e-06,7.1806e-08,0.006916,0.08249,2.1942e-12,1.6769e-06,0.056064,1.5635e-13,NR
0.31612,0.36447,0.13301,4.8139e-06,4.5598e-08,0.0026917,0.089166,2.1276e-12,1.9337e-06,651730.5476,1426602.0728,CR
0.21687,0.23757,0.088062,2.6287e-06,5.4935e-08,0.0052628,0.090322,2.2421e-12,2.3035e-06,317375.575,856770.5885,CR
0.34083,0.34449,0.15918,3.3709e-06,6.4155e-08,0.0059344,0.088977,1.4928e-12,1.5211e-06,-2.8935e-13,1.4123e-15,NR
0.32149,0.41699,0.23859,3.3904e-06,6.3681e-08,0.0074328,0.086153,8.9042e-13,2.1594e-06,839264.2392,1305626.4346,CR
0.29506,0.36529,0.10447,8.1889e-06,7.1254e-08,0.0022958,0.084603,1.1629e-12,2.5057e-06,367516.3034,684418.9129,CR
0.30749,0.41435,0.13605,7.0407e-06,4.9398e-08,0.0079963,0.09,1.2129e-12,1.6606e-06,0.12708,-4.1296e-13,NR
0.3376,0.49683,0.16284,7.6088e-06,7.0787e-08,0.0068495,0.08974,1.5687e-12,2.9902e-06,275435.703,345267.3414,CR
0.11704,0.14606,0.17455,6.0347e-06,7.1124e-08,0.0073518,0.089077,1.89e-12,2.2467e-06,7.4375,-1.0788e-12,NR
0.38259,0.48466,0.11675,2.5514e-06,7.0677e-08,0.0068944,0.08609,1.31e-12,2.617e-06,308685.8476,440774.9535,CR
0.19793,0.38576,0.20369,4.3422e-06,6.3511e-08,0.0062681,0.085649,1.4598e-12,1.7121e-06,0.0059759,-1.2989e-13,NR
0.17171,0.2635,0.12334,4.7454e-06,3.8907e-08,0.0020859,0.088389,1.9092e-12,1.6124e-06,307667.3331,676599.1778,CR
0.18631,0.27032,0.21321,8.6434e-06,6.736e-08,0.0056177,0.088765,1.5312e-12,2.3204e-06,240349.622,869503.1272,CR
0.11448,0.1268,0.16,7.816e-06,7.1303e-08,0.003436,0.081481,1.8315e-12,1.8431e-06,483635.0573,2028051.5697,CR
0.21604,0.24098,0.092735,9.3553e-06,6.1464e-08,0.0022265,0.088848,2.1333e-12,1.8723e-06,0.0015086,-2.3696e-15,NR
0.24085,0.27303,0.061591,8.4598e-06,6.7016e-08,0.0061767,0.084352,1.2528e-12,1.5264e-06,9.8311e-08,-1.0256e-14,NR
0.41147,0.44585,0.063884,7.3293e-06,5.9633e-08,0.0036931,0.088268,2.0011e-12,1.6531e-06,3.2841e-07,-1.1029e-14,NR
0.15552,0.26656,0.18032,4.522e-06,7.0191e-08,0.0039019,0.087916,1.0009e-12,1.9505e-06,5.5738e-06,1.3762e-14,NR
0.34215,0.35329,0.11137,4.0061e-06,4.8533e-08,0.0064092,0.088318,8.2128e-13,1.5539e-06,338.0869,0.55781,NR
0.19182,0.2027,0.10074,8.9385e-06,6.8685e-08,0.0059099,0.085706,2.0045e-12,2.1419e-06,105183.0217,730257.9408,CR
0.21861,0.24278,0.19135,2.7486e-06,5.6378e-08,0.0061688,0.081747,6.2907e-13,1.5936e-06,1142567.9264,2974219.5285,CR
0.26557,0.39251,0.18405,8.6808e-06,5.2006e-08,0.0065547,0.089018,7.3774e-13,2.1867e-06,546713.3647,774975.8002,CR
0.26923,0.29404,0.22673,6.7801e-06,6.4455e-08,0.0032925,0.087325,1.1907e-12,1.9874e-06,480949.757,2338389.5522,CR
0.2371,0.37377,0.20334,6.7936e-06,6.9184e-08,0.0046418,0.081985,1.8091e-12,1.6479e-06,3.5461,7.1297e-13,NR
0.32402,0.43778,0.17866,7.712e-06,5.6834e-08,0.0044276,0.086577,6.0496e-13,1.6838e-06,13.1119,-2.6235e-12,NR
0.27605,0.2942,0.23192,4.7054e-06,6.9646e-08,0.0031704,0.082702,6.5821e-13,1.6253e-06,2582.5666,945598.057,CR
0.33452,0.38119,0.12608,3.5768e-06,5.2075e-08,0.0054997,0.089936,2.0001e-12,1.7496e-06,6.4081,-1.6954e-12,NR
0.30311,0.31041,0.1827,8.4697e-06,6.735e-08,0.0034805,0.084806,1.344e-12,1.6079e-06,0.0059712,-1.0032e-13,NR
0.21209,0.32802,0.17807,9.244e-06,5.4153e-08,0.0074543,0.083024,6.0709e-13,1.6559e-06,315915.826,716968.8549,CR
0.32142,0.36855,0.17138,4.8609e-06,5.6728e-08,0.0047042,0.088246,1.7528e-12,2.0704e-06,602044.4896,1460782.2062,CR
0.41308,0.4589,0.14558,3.8435e-06,7.105e-08,0.0025437,0.086442,1.4339e-12,2.2807e-06,201050.2577,756275.9793,CR
0.38065,0.51378,0.13357,7.9228e-06,7.0115e-08,0.0043173,0.07985,1.6487e-12,1.9215e-06,114712.0971,270954.9227,CR
0.30863,0.4131,0.12948,2.5854e-06,6.216e-08,0.0043581,0.082716,1.0615e-12,2.0565e-06,394536.6248,601297.9275,CR
0.22656,0.34352,0.13466,4.8445e-06,6.8186e-08,0.0026234,0.087589,8.6568e-13,1.6223e-06,-1.1076e-12,-1.0887e-15,NR
0.4106,0.54242,0.17444,3.6828e-06,5.5461e-08,0.002867,0.09032,1.6077e-12,2.0632e-06,3109.1112,11434.5476,CR
0.12032,0.17969,0.10318,5.95e-06,5.591e-08,0.0043283,0.090024,8.1864e-13,2.113e-06,15613.0418,224507.5553,CR
0.23096,0.26398,0.19728,7.5109e-06,5.9209e-08,0.0046783,0.0868,7.2601e-13,2.111e-06,1168859.0813,2750110.185,CR
0.18434,0.24346,0.10366,3.5602e-06,7.1517e-08,0.0021216,0.09013,7.0174e-13,2.7933e-06,129624.0824,369772.7685,CR
0.14897,0.27446,0.15651,3.8367e-06,6.8535e-08,0.0039371,0.086968,1.075e-12,1.5361e-06,7.3327e-13,2.4317e-16,NR
0.37844,0.40776,0.065777,2.4774e-06,4.7538e-08,0.0022435,0.08927,1.2183e-12,1.8153e-06,49920.9886,306122.1019,CR
0.14424,0.26865,0.20384,3.7317e-06,5.2317e-08,0.0075654,0.087638,1.2932e-12,1.8304e-06,241022.7649,612638.0858,CR
0.35684,0.37275,0.064418,7.3265e-06,6.5996e-08,0.0050097,0.084819,1.042e-12,2.158e-06,152125.0349,551157.5742,CR
0.2637,0.3355,0.081244,3.8981e-06,6.9434e-08,0.0052078,0.087171,2.1669e-12,1.9517e-06,2.8911e-05,1.9863e-15,NR
0.36109,0.49001,0.20208,6.5362e-06,4.5927e-08,0.0029226,0.088134,1.2442e-12,1.8328e-06,616341.692,982994.3474,CR
0.22831,0.42126,0.19909,3.8054e-06,4.0985e-08,0.0040655,0.087956,1.9215e-12,1.7559e-06,398514.3369,514698.663,CR
0.24863,0.32321,0.091644,6.8705e-06,6.6152e-08,0.0074378,0.082372,8.3151e-13,1.9728e-06,100885.3427,309576.6129,CR
0.30839,0.37662,0.1226,2.4118e-06,5.2997e-08,0.0037985,0.088555,1.6852e-12,2.2258e-06,507873.2367,895751.0061,CR
0.12951,0.27881,0.22698,6.3572e-06,5.514e-08,0.0049122,0.08501,1.1508e-12,1.7345e-06,243812.1058,660274.3758,CR
0.40606,0.40665,0.07762,4.5138e-06,4.8589e-08,0.0047954,0.089219,9.9377e-13,1.6752e-06,846.5682,8811.1799,CR
0.34674,0.37346,0.078605,7.9774e-06,4.2314e-08,0.0076109,0.09029,1.0927e-12,1.6244e-06,7240.2208,266656.8579,CR
0.35145,0.4133,0.074995,2.5007e-06,5.4608e-08,0.0074998,0.089019,9.2099e-13,2.3635e-06,265265.0284,467320.2665,CR
0.40587,0.59522,0.23173,2.7783e-06,6.1212e-08,0.0057059,0.089911,2.1611e-12,1.6881e-06,2.274e-10,-2.1981e-14,NR
0.37612,0.41531,0.16563,2.6583e-06,7.0817e-08,0.0023426,0.088372,9.2482e-13,2.6749e-06,702085.2955,1533815.9446,CR
0.31295,0.39327,0.11335,5.3232e-06,6.0155e-08,0.0057166,0.086091,1.6025e-12,2.3296e-06,433041.6717,704161.8757,CR
0.22104,0.35124,0.22872,8.5399e-06,5.884e-08,0.0062483,0.087367,2.1405e-12,1.9856e-06,255754.7048,722822.5395,CR
0.28273,0.40951,0.15348,9.2695e-06,6.5952e-08,0.003152,0.088736,8.0659e-13,1.9051e-06,4.9617e-07,-3.2558e-14,NR
0.31033,0.32109,0.16216,4.2174e-06,6.8045e-08,0.0034535,0.085354,1.5191e-12,1.8552e-06,506.4986,2.5076,NR
0.29998,0.34346,0.087168,7.5005e-06,6.5888e-08,0.0053315,0.08812,1.2618e-12,2.3772e-06,88611.2675,373591.3353,CR
0.10882,0.14139,0.1318,8.9425e-06,6.9989e-08,0.004231,0.087918,1.6948e-12,2.423e-06,234891.5625,878325.6165,CR
0.26663,0.34586,0.084992,8.4487e-06,6.596e-08,0.0054253,0.08642,7.3167e-13,1.7892e-06,2.4783e-05,7.8152e-16,NR
0.38212,0.55814,0.18576,8.8367e-06,5.712e-08,0.0028356,0.080055,7.2999e-13,1.7626e-06,417332.2524,581911.4165,CR
0.17945,0.18332,0.061148,4.3506e-06,5.3589e-08,0.0046987,0.088076,1.3917e-12,2.0833e-06,236594.8332,796403.5627,CR
0.36464,0.52971,0.17555,3.2622e-06,6.5056e-08,0.0040303,0.082203,6.5583e-13,1.5762e-06,0.52644,-4.4309e-13,NR
0.26944,0.42267,0.1691,2.7607e-06,5.111e-08,0.0020216,0.085629,1.6104e-12,1.8272e-06,256155.0497,432915.0165,CR
0.3163,0.39143,0.14815,7.9097e-06,7.1731e-08,0.0026648,0.076692,7.079e-13,1.6975e-06,423880.0865,987157.0148,CR
0.25023,0.28882,0.089609,7.7631e-06,7.1977e-08,0.0026169,0.082873,1.5938e-12,1.8077e-06,1.325,-2.3054e-13,NR
0.38408,0.47253,0.11854,5.358e-06,5.1939e-08,0.002442,0.090179,6.5601e-13,2.2996e-06,352878.4673,624512.4711,CR
0.28211,0.30518,0.085317,2.5952e-06,5.9578e-08,0.0067779,0.083562,1.2733e-12,1.692e-06,22532.5306,303214.9992,CR
0.15005,0.20848,0.075698,4.4613e-06,5.3753e-08,0.0039706,0.085428,1.3487e-12,1.5006e-06,0.30696,-3.0644e-13,NR
0.17286,0.35133,0.2285,8.6081e-06,5.7014e-08,0.0070446,0.089336,7.4497e-13,1.6682e-06,5.3204e-06,-3.2088e-14,NR
0.40859,0.47865,0.082602,7.5642e-06,6.1556e-08,0.002352,0.079283,1.4429e-12,1.6163e-06,50556.2438,271474.8157,CR
